
2024/08/12 (12:27:37) | ===> btop++ v.1.3.2
2024/08/12 (12:27:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/08/12 (12:27:37) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/01/26 (12:37:30) | ===> btop++ v.1.4.0
2025/01/26 (12:37:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (08:04:32) | ===> btop++ v.1.4.0
2025/03/07 (08:04:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (14:17:42) | ===> btop++ v.1.4.0
2025/03/28 (14:17:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (14:45:25) | ===> btop++ v.1.4.0
2025/03/28 (14:45:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (14:10:06) | ===> btop++ v.1.4.0
2025/03/29 (14:10:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (14:53:30) | ===> btop++ v.1.4.0
2025/04/05 (14:53:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (21:50:06) | ===> btop++ v.1.4.0
2025/04/05 (21:50:06) | WARNING: Intel GPU: Failed to initialize PMU
